,Jargon_Terms,Jargon_Type,is_Jargon
0,abacus,Business,True
1,acquisition indigestion,Business,True
2,active box,Business,True
3,affluenza,Business,True
4,air pocket stock,Business,True
5,alimony substitution trust,Business,True
6,alternative investment,Business,True
7,anatolian tigers,Business,True
8,angelina jolie stock index,Business,True
9,ankle biter,Business,True
10,anti-fragility,Business,True
11,asian century,Business,True
12,aspirin count theory,Business,True
13,asset valuation reserve,Business,True
14,at a premium,Business,True
15,a ton of money,Business,True
16,aunt millie,Business,True
17,away from the market,Business,True
18,baby bells,Business,True
19,baby bills,Business,True
20,baby boomer,Business,True
21,back up,Business,True
22,back up the truck,Business,True
23,badwill,Business,True
24,bagel land,Business,True
25,bag holder,Business,True
26,bag man,Business,True
27,baltic tiger,Business,True
28,baptism by fire,Business,True
29,barometer,Business,True
30,bear market rally,Business,True
31,bear squeeze,Business,True
32,bear tack,Business,True
33,bellwether stock,Business,True
34,best of breed,Business,True
35,bid whacker,Business,True
36,big blue,Business,True
37,big box retailer,Business,True
38,biodiesel,Business,True
39,blackberry addiction,Business,True
40,black friday,Business,True
41,black knight,Business,True
42,black swan,Business,True
43,blind pool,Business,True
44,bo derek,Business,True
45,body of knowledge,Business,True
46,boil the ocean,Business,True
47,boomerang,Business,True
48,boomlet,Business,True
49,boon,Business,True
50,boston snow indicator,Business,True
51,bottom fisher,Business,True
52,brics,Business,True
53,break,Business,True
54,break issue,Business,True
55,buck,Business,True
56,buck the trend,Business,True
57,bulldog market,Business,True
58,business process redesign,Business,True
59,bust,Business,True
60,buy and homework,Business,True
61,buzzword bingo,Business,True
62,capitulation,Business,True
63,carbon trade,Business,True
64,cardboard box index,Business,True
65,cash cow,Business,True
66,cash for refrigerators,Business,True
67,cash is king,Business,True
68,casino finance,Business,True
69,catalyst,Business,True
70,category killer,Business,True
71,cats and dogs,Business,True
72,caveat emptor,Business,True
73,champagne stock,Business,True
74,cherry picking,Business,True
75,chicken,Business,True
76,chinese wall,Business,True
77,client centric,Business,True
78,clinton bond,Business,True
79,closing price,Business,True
80,club deal,Business,True
81,cnn effect,Business,True
82,coaster,Business,True
83,coattail investing,Business,True
84,cockroach theory,Business,True
85,coiled market,Business,True
86,cold calling,Business,True
87,collaborative consumption,Business,True
88,commercial year,Business,True
89,commoditize,Business,True
90,control stock,Business,True
91,cool beans,Business,True
92,cooler,Business,True
93,corner a market,Business,True
94,corporate accountability,Business,True
95,corporate cannibalism,Business,True
96,corporate social responsibility,Business,True
97,acquisition,Business,True
98,algorithmic trading,Business,True
99,alternative investment,Business,True
100,analyst,Business,True
101,arbitrage,Business,True
102,assets,Business,True
103,asset management,Business,True
104,audit,Business,True
105,automation,Business,True
106,back office,Business,True
107,basel committee,Business,True
108,glossary of terms 01,Business,True
109,basis point,Business,True
110,bear,Business,True
111,bear market,Business,True
112,blue chip,Business,True
113,book,Business,True
114,bond,Business,True
115,broker,Business,True
116,bulge bracket,Business,True
117,bull,Business,True
118,bull market,Business,True
119,business risk,Business,True
120,buy side,Business,True
121,call option,Business,True
122,capital,Business,True
123,glossary of terms 02,Business,True
124,capital markets,Business,True
125,capital raising,Business,True
126,central securities depository (csd),Business,True
127,chartered financial analyst (cfa),Business,True
128,chinese wall,Business,True
129,clearing,Business,True
130,clearing house,Business,True
131,commission,Business,True
132,commodities,Business,True
133,commodity exchange,Business,True
134,convertible bonds,Business,True
135,coupon,Business,True
136,counterparty,Business,True
137,credit,Business,True
138,glossary of terms 03,Business,True
139,credit correlation,Business,True
140,credit derivative,Business,True
141,credit risk,Business,True
142,custodian,Business,True
143,custody,Business,True
144,debt,Business,True
145,delivery,Business,True
146,derivative,Business,True
147,electronic trading platform,Business,True
148,emerging markets,Business,True
149,equities,Business,True
150,equity,Business,True
151,glossary of terms 04,Business,True
152,equity capital markets (ecm),Business,True
153,exchange,Business,True
154,exchange-traded fund (etf),Business,True
155,exotic/hybrid,Business,True
156,financial restructuring,Business,True
157,financial services authority (fsa),Business,True
158,fixed income,Business,True
159,foreign exchange market,Business,True
160,front offi ce,Business,True
161,fund,Business,True
162,fund manager,Business,True
163,futures contract,Business,True
164,g-20,Business,True
165,glossary of terms 05,Business,True
166,generally accepted accounting,Business,True
167,principles (gaap),Business,True
168,hedge,Business,True
169,hedge funds,Business,True
170,high net worth individual,Business,True
171,index,Business,True
172,institutional investor,Business,True
173,instrument,Business,True
174,interest rate,Business,True
175,investment products,Business,True
176,junk bond,Business,True
177,ledger,Business,True
178,leverage,Business,True
179,leveraged buyout,Business,True
180,glossary of terms 06,Business,True
181,leveraged fi nance,Business,True
182,liquidity,Business,True
183,liquidity risk,Business,True
184,long position,Business,True
185,mandate,Business,True
186,market capitalization,Business,True
187,market maker,Business,True
188,market risk,Business,True
189,maturity,Business,True
190,mergers & acquisitions (m&a),Business,True
191,middle offi ce,Business,True
192,mutual fund,Business,True
193,nearshoring,Business,True
194,operational risk,Business,True
195,glossary of terms 07,Business,True
196,options,Business,True
197,organization of petroleum exporting,Business,True
198,countries (opec),Business,True
199,outsourcing/off shoring,Business,True
200,over the counter (otc),Business,True
201,plain/vanilla,Business,True
202,portfolio,Business,True
203,position,Business,True
204,private clients,Business,True
205,private equity,Business,True
206,project fi nance,Business,True
207,proprietary trading,Business,True
208,glossary of terms 08,Business,True
209,put option,Business,True
210,rating services,Business,True
211,retail investor,Business,True
212,rights issue,Business,True
213,risk management,Business,True
214,securities,Business,True
215,securitization,Business,True
216,sell side,Business,True
217,settlement,Business,True
218,shares,Business,True
219,short position,Business,True
220,spot market,Business,True
221,glossary of terms 09,Business,True
222,spread,Business,True
223,stockbroker,Business,True
224,stock,Business,True
225,stress test,Business,True
226,structured products,Business,True
227,swap,Business,True
228,tombstone,Business,True
229,trader,Business,True
230,trading book,Business,True
231,trading fl oor,Business,True
232,underwriting,Business,True
233,value at risk (var),Business,True
234,venture capitalist,Business,True
235,à gogo,French,True
236,à la,French,True
237,à la carte,French,True
238,à la mode,French,True
239,à propos,French,True
240,accouchement,French,True
241,acquis communautaire,French,True
242,aide-de-camp,French,True
243,aide-mémoire,French,True
244,allons-y!,French,True
245,amour propre,French,True
246,amuse-bouche or amuse-gueule,French,True
247,ancien régime,French,True
248,aperçu,French,True
249,apéritif or aperitif ,French,True
250,"lit. """,French,True
251,appellation contrôlée,French,True
252,appetence,French,True
253,"après moi, le déluge",French,True
254,arête,French,True
255,armoire,French,True
256,arrière-pensée,French,True
257,art nouveau,French,True
258,attaché,French,True
259,attaque au fer,French,True
260,au contraire,French,True
261,au courant,French,True
262,au fait,French,True
263,au gratin,French,True
264,au jus,French,True
265,au naturel,French,True
266,au pair,French,True
267,au revoir !,French,True
268,avant-garde (pl. avant-gardes),French,True
269,avant la lettre,French,True
270,avoirdupois,French,True
271,bric-à-brac,French,True
272,brioche,French,True
273,baguette,French,True
274,banquette,French,True
275,beaucoup de,French,True
276,beau geste,French,True
277,beaux-arts,French,True
278,belle,French,True
279,belle époque,French,True
280,belles-lettres,French,True
281,bien entendu,French,True
282,bien pensant,French,True
283,billet-doux,French,True
284,blasé,French,True
285,bon appétit,French,True
286,bon vivant,French,True
287,bon voyage,French,True
288,boulevard,French,True
289,bourgeois,French,True
290,bouquet,French,True
291,bric-à-brac,French,True
292,brioche,French,True
293,brunette,French,True
294,bureau (pl. bureaux),French,True
295,café au lait,French,True
296,chaise longue,French,True
297,chauffeur,French,True
298,chignon,French,True
299,contre-jour,French,True
300,creperie,French,True
301,ça ne fait rien,French,True
302,cache,French,True
303,cachet,French,True
304,café,French,True
305,café au lait,French,True
306,calque,French,True
307,canard,French,True
308,canapé,French,True
309,carte blanche,French,True
310,carte de visite,French,True
311,chaise longue,French,True
312,champs-élysées,French,True
313,chanteuse,French,True
314,a female singer.,French,True
315,chargé d'affaires,French,True
316,chauffeur,French,True
317,chef d'œuvre,French,True
318,cherchez la femme,French,True
319,chez,French,True
320,chic,French,True
321,chignon,French,True
322,cinéma pur,French,True
323,cinéma vérité,French,True
324,cliché,French,True
325,clique,French,True
326,cloisonné,French,True
327,commandant,French,True
328,"comme ci, comme ça",French,True
329,communiqué,French,True
330,concierge,French,True
331,concordat,French,True
332,confrère (also confrere),French,True
333,"a colleague, an associate",French,True
334,contre-coup,French,True
335,contre-jour,French,True
336,contretemps,French,True
337,coquette,French,True
338,cordon bleu,French,True
339,cordon sanitaire,French,True
340,corniche,French,True
341,cortège,French,True
342,coup de foudre,French,True
343,coup d'état,French,True
344,"political coup, government overthrow",French,True
345,coup de grâce,French,True
346,coup de main,French,True
347,coup de maître,French,True
348,coup de théâtre,French,True
349,coup d'œil,French,True
350,couture,French,True
351,couturier,French,True
352,crèche,French,True
353,crème brûlée,French,True
354,crème de la crème,French,True
355,crème fraîche,French,True
356,crêpe,French,True
357,cul-de-sac,French,True
358,crêperie,French,True
359,critique,French,True
360,croissant,French,True
361,cul-de-sac,French,True
362,"originally ""bottom of sack""",French,True
363,dressage,French,True
364,de rigueur,French,True
365,de trop,French,True
366,déclassé,French,True
367,décolleté,French,True
368,décor,French,True
369,découpage,French,True
370,demi-glace,French,True
371,demi-sec,French,True
372,déjà vu,French,True
373,dénouement,French,True
374,dépanneur,French,True
375,dérailleur,French,True
376,dernier cri,French,True
377,derrière,French,True
378,déshabillé,French,True
379,détente,French,True
380,digestif,French,True
381,directeur sportif,French,True
382,divertissement,French,True
383,dossier,French,True
384,doyen,French,True
385,dressage,French,True
386,droit du seigneur,French,True
387,du jour,French,True
388,eau de cologne,French,True
389,eau de vie,French,True
390,entrée,French,True
391,en plein air,French,True
392,en pointe,French,True
393,eau de cologne,French,True
394,eau de toilette,French,True
395,eau de vie,French,True
396,écarté,French,True
397,échappé,French,True
398,éclair,French,True
399,éclat,French,True
400,écorché,French,True
401,élan,French,True
402,élan vital,French,True
403,éminence grise,French,True
404,en banc,French,True
405,en bloc,French,True
406,en garde,French,True
407,en passant,French,True
408,en pointe,French,True
409,en route,French,True
410,on the way,French,True
411,enfant terrible,French,True
412,ennui,French,True
413,entente,French,True
414,entre nous,French,True
415,entrée,French,True
416,entremets,French,True
417,entrepreneur,French,True
418,embonpoint,French,True
419,escargot,French,True
420,esprit de corps,French,True
421,esprit de l'escalier,French,True
422,"l'état, c'est moi !",French,True
423,étude,French,True
424,étui,French,True
425,excusez-moi,French,True
426,extraordinaire,French,True
427,façade,French,True
428,fait accompli,French,True
429,faute de mieux,French,True
430,faux,French,True
431,faux pas,French,True
432,femme fatale,French,True
433,feuilleton,French,True
434,fiancé(e),French,True
435,film noir,French,True
436,fils,French,True
437,fin de siècle,French,True
438,flambé,French,True
439,flambeau,French,True
440,flâneur,French,True
441,fleur-de-lis,French,True
442,fleur-de-lis,French,True
443,fleur de sel,French,True
444,fleur de sel,French,True
445,foie gras,French,True
446,foie gras,French,True
447,folie à deux,French,True
448,force majeure,French,True
449,forte,French,True
450,froideur,French,True
451,gendarmes,French,True
452,grenadier,French,True
453,gaffe,French,True
454,blunder,French,True
455,garçon,French,True
456,gauche,French,True
457,gaucherie,French,True
458,gendarme,French,True
459,gendarmerie,French,True
460,genre,French,True
461,gîte ,French,True
462,glissade,French,True
463,grand prix,French,True
464,grand guignol,French,True
465,grenadier,French,True
466,haute couture,French,True
467,habitué,French,True
468,haute couture,French,True
469,haute école,French,True
470,hauteur,French,True
471,"lit. ""height"": arrogance.",French,True
472,haut monde,French,True
473,hors de combat,French,True
474,hors concours,French,True
475,hors d'œuvre,French,True
476,"lit. ""outside the ",French,True
477,ingénue,French,True
478,idée fixe,French,True
479,impasse,French,True
480,ingénu(e),French,True
481,j'accuse,French,True
482,j'adoube,French,True
483,je ne regrette rien,French,True
484,je ne sais quoi,French,True
485,jeu d'esprit,French,True
486,jeunesse dorée,French,True
487,joie de vivre,French,True
488,l'appel du vide,French,True
489,laïcité,French,True
490,laissez-faire,French,True
491,laissez-passer,French,True
492,lamé,French,True
493,lanterne rouge,French,True
494,lèse majesté,French,True
495,liaison,French,True
496,lingerie,French,True
497,littérateur,French,True
498,louche,French,True
499,louis quatorze,French,True
500,louis quinze,French,True
501,macramé,French,True
502,mange tout,French,True
503,mardi gras,French,True
504,macramé,French,True
505,madame ,French,True
506,mademoiselle,French,True
507,malaise,French,True
508,mange tout,French,True
509,manqué,French,True
510,mardi gras,French,True
511,marque,French,True
512,matériel,French,True
513,mauvais quart d'heure,French,True
514,mélange,French,True
515,mêlée,French,True
516,ménage à trois,French,True
517,métier,French,True
518,milieu,French,True
519,milieu intérieur,French,True
520,mirepoix,French,True
521,mise en place,French,True
522,mise en scène,French,True
523,mise en table,French,True
524,montage,French,True
525,le mot juste,French,True
526,motif,French,True
527,moue,French,True
528,mousse,French,True
529,"né, née",French,True
530,n'est-ce pas?,French,True
531,"""isn't it ",French,True
532,noblesse oblige,French,True
533,nom de guerre,French,True
534,nom de plume,French,True
535,nouveau riche,French,True
536,nouvelle vague,French,True
537,objet d'art,French,True
538,objet trouvé,French,True
539,œuvre,French,True
540,omelette,French,True
541,opéra bouffe,French,True
542,outré,French,True
543,pain au chocolat,French,True
544,parkour,French,True
545,pince-nez,French,True
546,pain au chocolat,French,True
547,pain aux raisins,French,True
548,panache,French,True
549,papier-mâché,French,True
550,par avion,French,True
551,par excellence,French,True
552,parc fermé,French,True
553,parkour,French,True
554,parole,French,True
555,parvenu,French,True
556,pas de deux,French,True
557,pas de trois,French,True
558,passe-partout,French,True
559,pastiche,French,True
560,patois,French,True
561,a dialect; jargon.,French,True
562,père ,French,True
563,peloton,French,True
564,petite bourgeoisie,French,True
565,la petite mort,French,True
566,pied-noir,French,True
567,pince-nez,French,True
568,piste,French,True
569,plage ,French,True
570,plat du jour,French,True
571,plongeur (fem. plongeuse),French,True
572,point d'appui,French,True
573,porte cochère,French,True
574,poseur,French,True
575,pot-au-feu,French,True
576,pour encourager les autres,French,True
577,pourboire,French,True
578,prairie,French,True
579,prêt-à-porter,French,True
580,prie-dieu,French,True
581,"lit. ""pray ",French,True
582,prix fixe,French,True
583,protégé(e),French,True
584,provocateur,French,True
585,quai d'orsay,French,True
586,quatorze juillet,French,True
587,quelle bonne idée !,French,True
