,_,mrw,sentence
0,,reveals approach leading to,Latest corporate unbundler reveals laid-back approach Roland Franklin who is leading a 697m pound break-up bid for DRG talks to Frank Kane
1,,made fatal in,IT SEEMS that Roland Franklin the latest unbundler to appear in the UK has made a fatal error in the preparation of his £697m break-up bid for stationery and packaging group DRG
2,,target,He has not properly investigated the target 's dining facilities
3,,head through mounted rule in this headquarters,The 63-year-old head of Pembridge Investments through which the bid is being mounted says rule number one in this business is the more luxurious the luncheon rooms at headquarters the more inefficient the business
4,,taken modest head,If he had taken his own rule seriously he would have found out that DRG has a very modest self-service canteen at its Bristol head office
5,,things on admission part keep after,There are other things he has on his own admission not fully investigated like the value of the DRG properties or which part of the DRG business he would keep after the break up
6,,launched faced from on those counts,When the bid was launched last week Mr Franklin faced some criticism from City commentators on both those counts
7,,regards charges,He regards the charges as unfounded
8,,On blunt,On property he is blunt
9,,regard,I do not regard property profits as earnings
10,,made with there see about in,We have made a bid of nearly £700m for a company with a book value of £200m we 've acknowledged there is some extra worth there but I can not see the sort of value they are talking about in property
11,,there,If they can prove it is there we might pay for it
12,,On,On the other criticism he is equally dismissive
13,,That point about,That point about the core business is very unfair he says
14,,within,We would eventually like to do it along with the management within the philosophy we will impose
15,,in at side,The Franklin philosophy was learnt in the US leveraged buyout business at the side of Sir James Goldsmith
16,,at end after collapse,Mr Franklin went there at the end of the 1970s after the collapse of Keyser Ullman the merchant bank where he was a director that was rescued by the Bank of England
17,,feels,He feels that Keyser 's problems were hastened by an unwise acquisition
18,,found attractive breaking up hefty,Along with Sir James he found the US much more attractive taking over and breaking up some fairly hefty US corporations
19,,charges casino atmosphere gripped life in,He rejects charges that he was partly responsible for the casino atmosphere that gripped US corporate life in the early 1980s
20,,stirred up lost added to,We stirred it up yes but we never lost any money for anybody and we never added to the unemployment figures
21,,from come across,What he has learned from Goldsmith the only genius I have ever come across is that the holding company is not the most important unit of corporate organisation
22,,makes to,It does not matter whether or not DRG makes sellotape or Basildon Bond it 's of no consequence to anybody if somebody else makes them
23,,defence make,And there is always the ultimate unbundler 's defence that he will make money for his backers
24,,In seen to charge mounting take that this,In a takeover campaign that has already seen vitriolic language he responds to the charge that he is mounting the bid to enrich himself and his friends by saying Nobody could take that as a criticism this is an investor group
25,,at,Letter Policy and politics at the Labour Party Conference
26,,predicts with hold on to appears,Sir I was interested by your juxtaposition of Poll predicts 42-seat majority for Labour with Tories hold on 30 September the latter referring of course to the Conservative victory in Wandsworth the significance of which appears to have been almost totally ignored by the media
27,,prepared bring into power,Electors are always prepared to criticise the Government in answer to pollsters ' questions but when the same individuals arrive at the polling booth they simply can not bring themselves to vote Labour into power
28,,at,Letter Policy and politics at the Labour Party Conference
29,,gap in in welcomed,Sir Despite a significant gap in the Labour Party 's education and training proposals their objective to double the number of 16-18year-olds in full-time education must be welcomed 28 September
30,,on stands at,England 's full-time on rate stands at 28 per cent according to the latest statistics available
31,,This with,This compares with 79 per cent in the US 86 per cent in Sweden 45 per cent in West Germany and 69 per cent in Japan
32,,add to those position,To add the part-time education and training statistics to those figures does not improve our relative position
33,,hopes situation levels to brighter courses Further followed with,Labour hopes to transform the situation by increasing the number of levels to five for the brighter youngsters and providing grants for four-year training courses two years in a Further Education college followed by two with an employer for the rest
34,,These achieve accompanied,These reforms will only achieve their objective if accompanied by the implementation of the 1944 Education Act provision for compulsory part- or full-time education or training up to the age of 18
35,,This activated,This clause has never yet been activated
36,,lead up that group away from into unskilled semi-,The sharply reduced number of 16-18-year-olds will inevitably lead employers to bid up the wages of that age group to entice young people away from education and into unskilled or semi- jobs
37,,release,Employers must be required to release 16-18-year-olds for education and training for at least two days per week
38,,then goals vocational productive reduce between narrow to high standard,Only then will two vitally important and complementary goals be achieved to improve Britain 's general educational and vocational competence and hence our productive capacity and to reduce our gross educational inequalities between the elite who receive a narrow education to a very high standard and the rest
39,,at,Letter Policy and politics at the Labour Party Conference
40,,need to scoop centre ground at next,Sir Labour does not need a commitment to proportional representation in order to scoop most of the centre ground at the next general election
41,,needs into system,All it needs is to promise a high-powered investigation such as a Royal Commission into the practicalities of an alternative voting system surely justified by the intense public interest now abounding
42,,to,Such a promise would be the only hope of a breakthrough for the disenfranchised voters and would have them flocking to the polls for Mr Kinnock
43,,at,Letter Policy and politics at the Labour Party Conference
44,,setting up in system deserves needs taken out of hot-house,Sir If Labour is to suggest the setting up of a specialist labour court 30 September then such a momentous change in the industrial relations system deserves more discussion and needs to be taken out of the hot-house of Labour Party conference politics
45,,move welcomed,For three reasons such a move should be welcomed
46,,bring handle in fair way based on in field,First it would bring Britain into line with the best European practice notably in Germany where local regional and federal labour courts handle problems in a fair dispassionate way based on law precedent and judicial expertise in the labour field
47,,enjoyed rights under reduce emphasis immunities,Second it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union immunities
48,,reflect balance power in fully fledged system remove,Labour law will always reflect the balance of power in society and a fully fledged labour court system will not remove class and fundamental employer-employee differences
49,,see-sawing seen,But it should be possible to create and enforce enough common rules to prevent the absurd see-sawing of industrial relations legislation we have seen since 1969
50,,High to constitutional in,Third a labour division of the High Court would contribute to the process of constitutional reform in Britain which surely is to be a key political issue in the 1990s
51,,haunt that upset,The trade union question would cease to haunt the Labour Party and while that might upset some Conservatives it would be good for the country
52,,fixed,Letter Independence of fixed
53,,On carry from,Sir On Saturday you published an advertisement for the 10 extra pages of news and features that you The Independent will carry from 2 October
54,,about asks,What do independent experts say about our 10 extra pages asks the advertisement
