Jargon_Terms,Jargon_Type
absente reo,Latin
ab urbe condita,Latin
ad interim,Latin
ad libitum,Latin
ad maiorem Dei gloriam,Latin
ad pondus omnium,Latin
ad ref,Latin
ad usum proprium,Latin
agere sequitur,Latin
anno,Latin
anno Domini,Latin
ante cibum,Latin
ante meridiem,Latin
ante prandium,Latin
aqua,Latin
bis in die,Latin
condit,Latin
circa,Latin
confer,Latin
Confoederatio Helvetica,Latin
Deo optimo maximo,Latin
dictatum erat,Latin
et alibi,Latin
et alii,Latin
et cetera,Latin
et sequentes,Latin
etc.,Latin
etc,Latin
ex supra,Latin
et al.,Latin
exempli gratia,Latin
e.g.,Latin
eg,Latin
hic jacet,Latin
ie,Latin
i.e.,Latin
id.,Latin
idem quod,Latin
ignotus,Latin
in casu,Latin
in fine,Latin
in hoc sensu,Latin
in illo ordine,Latin
in saecula,Latin
infra dignitatem,Latin
instante mense,Latin
inter alia,Latin
latius est impunitum relinqui facinus nocentis,Latin
libera te tutemet,Latin
libra,Latin
loco citato,Latin
manu propria,Latin
Memoriae Sacrum,Latin
modus operandi,Latin
Nec deus intersit,Latin
nemine contradicente,Latin
nemo propheta in patria,Latin
nil per os,Latin
nomen nescio,Latin
nota bene,Latin
obiit,Latin
oculus dexter,Latin
oculus sinister,Latin
per annum,Latin
per diem,Latin
p.s.,Latin
post mortem,Latin
post scriptum,Latin
quod erat demonstrandum (Q.E.D.),Latin
quod erat faciendum,Latin
quod est,Latin
quod vide,Latin
R.I.P.,Latin
requiescat in pace,Latin
Vice Versa,Latin
vide infra,Latin
vide supra,Latin
videlicet,Latin
viz.,Latin
Q.E.D.,Latin
