,Unnamed: 0,Jargon_Terms,Jargon_Type,is_Jargon
0,0,abacus,Business,True
1,1,acquisition indigestion,Business,True
2,2,active box,Business,True
3,3,affluenza,Business,True
4,4,air pocket stock,Business,True
5,5,alimony substitution trust,Business,True
6,6,alternative investment,Business,True
7,7,anatolian tigers,Business,True
8,8,angelina jolie stock index,Business,True
9,9,ankle biter,Business,True
10,10,anti-fragility,Business,True
11,11,asian century,Business,True
12,12,aspirin count theory,Business,True
13,13,asset valuation reserve,Business,True
14,14,at a premium,Business,True
15,15,a ton of money,Business,True
16,16,aunt millie,Business,True
17,17,away from the market,Business,True
18,18,baby bells,Business,True
19,19,baby bills,Business,True
20,20,baby boomer,Business,True
21,21,back up,Business,True
22,22,back up the truck,Business,True
23,23,badwill,Business,True
24,24,bagel land,Business,True
25,25,bag holder,Business,True
26,26,bag man,Business,True
27,27,baltic tiger,Business,True
28,28,baptism by fire,Business,True
29,29,barometer,Business,True
30,30,bear market rally,Business,True
31,31,bear squeeze,Business,True
32,32,bear tack,Business,True
33,33,bellwether stock,Business,True
34,34,best of breed,Business,True
35,35,bid whacker,Business,True
36,36,big blue,Business,True
37,37,big box retailer,Business,True
38,38,biodiesel,Business,True
39,39,blackberry addiction,Business,True
40,40,black friday,Business,True
41,41,black knight,Business,True
42,42,black swan,Business,True
43,43,blind pool,Business,True
44,44,bo derek,Business,True
45,45,body of knowledge,Business,True
46,46,boil the ocean,Business,True
47,47,boomerang,Business,True
48,48,boomlet,Business,True
49,49,boon,Business,True
50,50,boston snow indicator,Business,True
51,51,bottom fisher,Business,True
52,52,brics,Business,True
53,53,break,Business,True
54,54,break issue,Business,True
55,55,buck,Business,True
56,56,buck the trend,Business,True
57,57,bulldog market,Business,True
58,58,business process redesign,Business,True
59,59,bust,Business,True
60,60,buy and homework,Business,True
61,61,buzzword bingo,Business,True
62,62,capitulation,Business,True
63,63,carbon trade,Business,True
64,64,cardboard box index,Business,True
65,65,cash cow,Business,True
66,66,cash for refrigerators,Business,True
67,67,cash is king,Business,True
68,68,casino finance,Business,True
69,69,catalyst,Business,True
70,70,category killer,Business,True
71,71,cats and dogs,Business,True
72,72,caveat emptor,Business,True
73,73,champagne stock,Business,True
74,74,cherry picking,Business,True
75,75,chicken,Business,True
76,76,chinese wall,Business,True
77,77,client centric,Business,True
78,78,clinton bond,Business,True
79,79,closing price,Business,True
80,80,club deal,Business,True
81,81,cnn effect,Business,True
82,82,coaster,Business,True
83,83,coattail investing,Business,True
84,84,cockroach theory,Business,True
85,85,coiled market,Business,True
86,86,cold calling,Business,True
87,87,collaborative consumption,Business,True
88,88,commercial year,Business,True
89,89,commoditize,Business,True
90,90,control stock,Business,True
91,91,cool beans,Business,True
92,92,cooler,Business,True
93,93,corner a market,Business,True
94,94,corporate accountability,Business,True
95,95,corporate cannibalism,Business,True
96,96,corporate social responsibility,Business,True
97,97,acquisition,Business,True
98,98,algorithmic trading,Business,True
99,99,alternative investment,Business,True
100,100,analyst,Business,True
101,101,arbitrage,Business,True
102,102,assets,Business,True
103,103,asset management,Business,True
104,104,audit,Business,True
105,105,automation,Business,True
106,106,back office,Business,True
107,107,basel committee,Business,True
108,108,glossary of terms 01,Business,True
109,109,basis point,Business,True
110,110,bear,Business,True
111,111,bear market,Business,True
112,112,blue chip,Business,True
113,113,book,Business,True
114,114,bond,Business,True
115,115,broker,Business,True
116,116,bulge bracket,Business,True
117,117,bull,Business,True
118,118,bull market,Business,True
119,119,business risk,Business,True
120,120,buy side,Business,True
121,121,call option,Business,True
122,122,capital,Business,True
123,123,glossary of terms 02,Business,True
124,124,capital markets,Business,True
125,125,capital raising,Business,True
127,127,chartered financial analyst (cfa),Business,True
128,128,chinese wall,Business,True
129,129,clearing,Business,True
130,130,clearing house,Business,True
131,131,commission,Business,True
132,132,commodities,Business,True
133,133,commodity exchange,Business,True
134,134,convertible bonds,Business,True
135,135,coupon,Business,True
136,136,counterparty,Business,True
137,137,credit,Business,True
138,138,glossary of terms 03,Business,True
139,139,credit correlation,Business,True
140,140,credit derivative,Business,True
141,141,credit risk,Business,True
142,142,custodian,Business,True
143,143,custody,Business,True
144,144,debt,Business,True
145,145,delivery,Business,True
146,146,derivative,Business,True
147,147,electronic trading platform,Business,True
148,148,emerging markets,Business,True
149,149,equities,Business,True
150,150,equity,Business,True
151,151,glossary of terms 04,Business,True
152,152,equity capital markets (ecm),Business,True
153,153,exchange,Business,True
154,154,exchange-traded fund (etf),Business,True
155,155,exotic/hybrid,Business,True
156,156,financial restructuring,Business,True
157,157,financial services authority (fsa),Business,True
158,158,fixed income,Business,True
159,159,foreign exchange market,Business,True
160,160,front offi ce,Business,True
161,161,fund,Business,True
162,162,fund manager,Business,True
163,163,futures contract,Business,True
164,164,g-20,Business,True
165,165,glossary of terms 05,Business,True
166,166,generally accepted accounting,Business,True
167,167,principles (gaap),Business,True
168,168,hedge,Business,True
169,169,hedge funds,Business,True
170,170,high net worth individual,Business,True
171,171,index,Business,True
172,172,institutional investor,Business,True
173,173,instrument,Business,True
174,174,interest rate,Business,True
175,175,investment products,Business,True
176,176,junk bond,Business,True
177,177,ledger,Business,True
178,178,leverage,Business,True
179,179,leveraged buyout,Business,True
180,180,glossary of terms 06,Business,True
181,181,leveraged fi nance,Business,True
182,182,liquidity,Business,True
183,183,liquidity risk,Business,True
184,184,long position,Business,True
185,185,mandate,Business,True
186,186,market capitalization,Business,True
187,187,market maker,Business,True
188,188,market risk,Business,True
189,189,maturity,Business,True
190,190,mergers & acquisitions (m&a),Business,True
191,191,middle offi ce,Business,True
192,192,mutual fund,Business,True
193,193,nearshoring,Business,True
194,194,operational risk,Business,True
195,195,glossary of terms 07,Business,True
196,196,options,Business,True
198,198,countries (opec),Business,True
199,199,outsourcing/off shoring,Business,True
200,200,over the counter (otc),Business,True
201,201,plain/vanilla,Business,True
202,202,portfolio,Business,True
203,203,position,Business,True
204,204,private clients,Business,True
205,205,private equity,Business,True
206,206,project fi nance,Business,True
207,207,proprietary trading,Business,True
208,208,glossary of terms 08,Business,True
209,209,put option,Business,True
210,210,rating services,Business,True
211,211,retail investor,Business,True
212,212,rights issue,Business,True
213,213,risk management,Business,True
214,214,securities,Business,True
215,215,securitization,Business,True
216,216,sell side,Business,True
217,217,settlement,Business,True
218,218,shares,Business,True
219,219,short position,Business,True
220,220,spot market,Business,True
221,221,glossary of terms 09,Business,True
222,222,spread,Business,True
223,223,stockbroker,Business,True
224,224,stock,Business,True
225,225,stress test,Business,True
226,226,structured products,Business,True
227,227,swap,Business,True
228,228,tombstone,Business,True
229,229,trader,Business,True
230,230,trading book,Business,True
231,231,trading fl oor,Business,True
232,232,underwriting,Business,True
233,233,value at risk (var),Business,True
234,234,venture capitalist,Business,True
235,235,à gogo,French,True
236,236,à la,French,True
237,237,à la carte,French,True
238,238,à la mode,French,True
239,239,à propos,French,True
240,240,accouchement,French,True
241,241,acquis communautaire,French,True
242,242,aide-de-camp,French,True
243,243,aide-mémoire,French,True
244,244,allons-y!,French,True
245,245,amour propre,French,True
246,246,amuse-bouche or amuse-gueule,French,True
247,247,ancien régime,French,True
248,248,aperçu,French,True
249,249,apéritif or aperitif ,French,True
250,250,"lit. """,French,True
251,251,appellation contrôlée,French,True
252,252,appetence,French,True
253,253,"après moi, le déluge",French,True
254,254,arête,French,True
255,255,armoire,French,True
256,256,arrière-pensée,French,True
257,257,art nouveau,French,True
258,258,attaché,French,True
259,259,attaque au fer,French,True
260,260,au contraire,French,True
261,261,au courant,French,True
262,262,au fait,French,True
263,263,au gratin,French,True
264,264,au jus,French,True
265,265,au naturel,French,True
266,266,au pair,French,True
267,267,au revoir !,French,True
268,268,avant-garde (pl. avant-gardes),French,True
269,269,avant la lettre,French,True
270,270,avoirdupois,French,True
271,271,bric-à-brac,French,True
272,272,brioche,French,True
273,273,baguette,French,True
274,274,banquette,French,True
275,275,beaucoup de,French,True
276,276,beau geste,French,True
277,277,beaux-arts,French,True
278,278,belle,French,True
279,279,belle époque,French,True
280,280,belles-lettres,French,True
281,281,bien entendu,French,True
282,282,bien pensant,French,True
283,283,billet-doux,French,True
284,284,blasé,French,True
285,285,bon appétit,French,True
286,286,bon vivant,French,True
287,287,bon voyage,French,True
288,288,boulevard,French,True
289,289,bourgeois,French,True
290,290,bouquet,French,True
291,291,bric-à-brac,French,True
292,292,brioche,French,True
293,293,brunette,French,True
294,294,bureau (pl. bureaux),French,True
295,295,café au lait,French,True
296,296,chaise longue,French,True
297,297,chauffeur,French,True
298,298,chignon,French,True
299,299,contre-jour,French,True
300,300,creperie,French,True
301,301,ça ne fait rien,French,True
302,302,cache,French,True
303,303,cachet,French,True
304,304,café,French,True
305,305,café au lait,French,True
306,306,calque,French,True
307,307,canard,French,True
308,308,canapé,French,True
309,309,carte blanche,French,True
310,310,carte de visite,French,True
311,311,chaise longue,French,True
312,312,champs-élysées,French,True
313,313,chanteuse,French,True
314,314,a female singer.,French,True
315,315,chargé d'affaires,French,True
316,316,chauffeur,French,True
317,317,chef d'œuvre,French,True
318,318,cherchez la femme,French,True
319,319,chez,French,True
320,320,chic,French,True
321,321,chignon,French,True
322,322,cinéma pur,French,True
323,323,cinéma vérité,French,True
324,324,cliché,French,True
325,325,clique,French,True
326,326,cloisonné,French,True
327,327,commandant,French,True
328,328,"comme ci, comme ça",French,True
329,329,communiqué,French,True
330,330,concierge,French,True
331,331,concordat,French,True
332,332,confrère (also confrere),French,True
333,333,"a colleague, an associate",French,True
334,334,contre-coup,French,True
335,335,contre-jour,French,True
336,336,contretemps,French,True
337,337,coquette,French,True
338,338,cordon bleu,French,True
339,339,cordon sanitaire,French,True
340,340,corniche,French,True
341,341,cortège,French,True
342,342,coup de foudre,French,True
343,343,coup d'état,French,True
344,344,"political coup, government overthrow",French,True
345,345,coup de grâce,French,True
346,346,coup de main,French,True
347,347,coup de maître,French,True
348,348,coup de théâtre,French,True
349,349,coup d'œil,French,True
350,350,couture,French,True
351,351,couturier,French,True
352,352,crèche,French,True
353,353,crème brûlée,French,True
354,354,crème de la crème,French,True
355,355,crème fraîche,French,True
356,356,crêpe,French,True
357,357,cul-de-sac,French,True
358,358,crêperie,French,True
359,359,critique,French,True
360,360,croissant,French,True
361,361,cul-de-sac,French,True
362,362,"originally ""bottom of sack""",French,True
363,363,dressage,French,True
364,364,de rigueur,French,True
365,365,de trop,French,True
366,366,déclassé,French,True
367,367,décolleté,French,True
368,368,décor,French,True
369,369,découpage,French,True
370,370,demi-glace,French,True
371,371,demi-sec,French,True
372,372,déjà vu,French,True
373,373,dénouement,French,True
374,374,dépanneur,French,True
375,375,dérailleur,French,True
376,376,dernier cri,French,True
377,377,derrière,French,True
378,378,déshabillé,French,True
379,379,détente,French,True
380,380,digestif,French,True
381,381,directeur sportif,French,True
382,382,divertissement,French,True
383,383,dossier,French,True
384,384,doyen,French,True
385,385,dressage,French,True
386,386,droit du seigneur,French,True
387,387,du jour,French,True
388,388,eau de cologne,French,True
389,389,eau de vie,French,True
390,390,entrée,French,True
391,391,en plein air,French,True
